onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n03716966_28524	9	9	n02128385_20264	3	3	83	34.568243
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n02882301_14188	7	7	n02882301_14188	7	7	67	0.000000
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	1	n02882301_14188	7	7	n02190790_15121	5	5	65	50.435289
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n03710193_22225	8	8	n02882301_14188	7	7	77	58.584363
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n04252077_10859	10	10	n02882301_14188	7	7	97	66.434154
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	2	n02139199_10398	4	4	n02882301_14188	7	7	37	82.549676
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n02190790_15121	5	5	n04252077_10859	10	10	50	90.366968
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n02690373_7713	6	6	n02139199_10398	4	4	54	98.232438
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	1	n02690373_7713	6	6	n03716966_28524	9	9	59	106.284321
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n01443537_22563	1	1	n03710193_22225	8	8	8	114.316580
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n02128385_20264	3	3	n02190790_15121	5	5	25	122.482782
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n02139199_10398	4	4	n01621127_19020	2	2	32	130.632583
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n03710193_22225	8	8	n02190790_15121	5	5	75	138.547970
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n02139199_10398	4	4	n02139199_10398	4	4	34	0.000000
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	1	n02128385_20264	3	3	n04252077_10859	10	10	30	154.564123
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n02690373_7713	6	6	n01621127_19020	2	2	52	162.532273
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n04252077_10859	10	10	n03710193_22225	8	8	98	170.581468
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n01443537_22563	1	1	n02190790_15121	5	5	5	178.565192
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	2	n01621127_19020	2	2	n03710193_22225	8	8	18	186.413685
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n02190790_15121	5	5	n03716966_28524	9	9	49	202.531441
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n01621127_19020	2	2	n03716966_28524	9	9	19	218.546270
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	2	n01443537_22563	1	1	n01443537_22563	1	1	1	0.000000
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n01621127_19020	2	2	n02128385_20264	3	3	13	234.412839
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n01443537_22563	1	1	n03716966_28524	9	9	9	242.413884
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n03716966_28524	9	9	n03710193_22225	8	8	88	250.478964
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n02139199_10398	4	4	n04252077_10859	10	10	40	258.478987
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	1	n01621127_19020	2	2	n02190790_15121	5	5	15	266.478691
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n02139199_10398	4	4	n03716966_28524	9	9	39	274.646087
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
