onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02139199_10398	4	4	n01443537_22563	1	1	31	34.210500
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n03710193_22225	8	8	n01443537_22563	1	1	71	42.161888
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n02139199_10398	4	4	n03710193_22225	8	8	38	50.143396
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	2	n02882301_14188	7	7	n03710193_22225	8	8	68	58.209314
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n02882301_14188	7	7	n02139199_10398	4	4	64	66.258686
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n02128385_20264	3	3	n03716966_28524	9	9	29	74.137707
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n03716966_28524	9	9	n02690373_7713	6	6	86	82.209290
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n02882301_14188	7	7	n02128385_20264	3	3	63	90.141188
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n04252077_10859	10	10	n04252077_10859	10	10	100	0.000000
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n04252077_10859	10	10	n01621127_19020	2	2	92	114.123216
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	2	n02190790_15121	5	5	n02882301_14188	7	7	47	122.187602
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n03710193_22225	8	8	n02128385_20264	3	3	73	130.140598
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n02139199_10398	4	4	n02190790_15121	5	5	35	138.121654
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n03716966_28524	9	9	n02190790_15121	5	5	85	146.139975
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	1	n01621127_19020	2	2	n02139199_10398	4	4	14	154.190279
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n03716966_28524	9	9	n01621127_19020	2	2	82	162.204433
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	2	n02190790_15121	5	5	n01621127_19020	2	2	42	170.187620
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n02190790_15121	5	5	n02690373_7713	6	6	46	178.225976
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	2	n02190790_15121	5	5	n03710193_22225	8	8	48	186.217216
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n03716966_28524	9	9	n01443537_22563	1	1	81	202.168606
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	2	n04252077_10859	10	10	n02690373_7713	6	6	96	218.134030
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n02882301_14188	7	7	n04252077_10859	10	10	70	226.150605
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n01621127_19020	2	2	n02882301_14188	7	7	17	234.066492
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n04252077_10859	10	10	n03716966_28524	9	9	99	242.201467
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n04252077_10859	10	10	n02128385_20264	3	3	93	250.017263
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n03716966_28524	9	9	n02882301_14188	7	7	87	258.115215
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n04252077_10859	10	10	n02190790_15121	5	5	95	266.081592
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n03716966_28524	9	9	n02139199_10398	4	4	84	274.081108
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
