onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	2	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n01443537_22563	1	1	n01443537_22563	1	1	1	0.000000
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	1	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02190790_15121	5	5	n04252077_10859	10	10	50	0.000000
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	2	n02128385_20264	3	3	n01443537_22563	1	1	21	0.000000
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n02690373_7713	6	6	n02190790_15121	5	5	55	74.726847
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n02128385_20264	3	3	n03710193_22225	8	8	28	81.993534
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n04252077_10859	10	10	n02882301_14188	7	7	97	95.176462
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n03710193_22225	8	8	n03716966_28524	9	9	79	103.724685
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n04252077_10859	10	10	n04252077_10859	10	10	100	0.000000
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n03710193_22225	8	8	n01443537_22563	1	1	71	114.172498
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	2	n04252077_10859	10	10	n01443537_22563	1	1	91	123.739083
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n02690373_7713	6	6	n03716966_28524	9	9	59	0.000000
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n01443537_22563	1	1	n02690373_7713	6	6	6	0.000000
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n01621127_19020	2	2	n02139199_10398	4	4	14	0.000000
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	1	n02882301_14188	7	7	n02139199_10398	4	4	64	153.641062
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n02882301_14188	7	7	n03710193_22225	8	8	68	161.470792
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	2	n03710193_22225	8	8	n01621127_19020	2	2	72	0.000000
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n02190790_15121	5	5	n02128385_20264	3	3	43	0.000000
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n02690373_7713	6	6	n02128385_20264	3	3	53	198.371521
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n03710193_22225	8	8	n02190790_15121	5	5	75	201.705276
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n02139199_10398	4	4	n02690373_7713	6	6	36	0.000000
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n02882301_14188	7	7	n02128385_20264	3	3	63	0.000000
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n01621127_19020	2	2	n04252077_10859	10	10	20	247.249612
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	1	n02690373_7713	6	6	n03710193_22225	8	8	58	249.633535
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n01443537_22563	1	1	n02139199_10398	4	4	4	256.800411
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n02139199_10398	4	4	n02190790_15121	5	5	35	264.598010
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n02690373_7713	6	6	n01621127_19020	2	2	52	272.667433
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
