onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n03612010_2887	85	676	0.000000
40	8	1	n03085219_3690	59	466	0.000000
48	8	1	n02802215_17477	45	354	0.000000
56	8	1	n01726692_8404	6	45	0.000000
64	8	1	n01970164_30420	17	135	0.000000
72	8	1	n03038480_7843	55	440	0.000000
80	8	2	n03038480_7843	55	440	81.027539
88	8	1	n03623556_17722	86	683	0.000000
96	8	1	n04376876_14622	127	1013	0.000000
104	8	1	n04146614_7893	112	895	0.000000
112	8	1	n04180888_8500	115	920	0.000000
120	8	1	n02769748_15626	42	329	0.000000
128	8	1	n02317335_6776	28	224	0.000000
136	8	1	n02799175_13505	43	338	0.000000
144	8	1	n04442441_5096	135	1076	0.000000
152	8	1	n03255030_8996	62	496	0.000000
160	8	1	n03544143_14057	81	642	0.000000
168	8	1	n01877134_11344	14	108	0.000000
176	8	1	n02766534_15976	41	324	0.000000
184	8	2	n02766534_15976	41	324	185.025643
192	8	1	n02692877_7319	40	320	0.000000
200	8	1	n03609235_10979	84	665	206.340501
208	8	1	n03746005_4198	93	738	0.000000
216	8	1	n03496296_11413	77	610	0.000000
224	8	1	n04442312_16618	134	1069	0.000000
232	8	1	n13111881_10917	150	1193	0.000000
240	8	1	n07756951_9462	145	1160	0.000000
248	8	1	n03209910_157	61	482	0.000000
256	8	1	n04477387_2204	136	1082	0.000000
264	8	1	n03743279_15645	92	732	0.000000
272	8	1	n03665924_8249	90	720	0.000000
280	8	1	n02843158_7756	49	390	0.000000
288	8	1	n02055803_7877	20	157	0.000000
296	8	1	n04168199_10839	114	907	0.000000
304	8	1	n03760671_12753	94	747	0.000000
312	8	1	n03886762_7939	100	799	0.000000
320	8	2	n03886762_7939	100	799	322.022797
328	8	1	n01944390_21065	15	120	0.000000
336	8	1	n02974003_3328	53	419	0.000000
344	8	1	n04419073_13393	133	1059	0.000000
352	8	1	n03494278_30876	76	604	0.000000
360	8	1	n03445777_9159	72	575	0.000000
368	8	2	n03445777_9159	72	575	369.021938
376	8	1	n04255586_4487	120	956	0.000000
384	8	1	n03472535_4645	74	591	0.000000
392	8	1	n02481823_13867	37	290	0.000000
400	8	1	n03793489_1565	97	772	0.000000
408	8	1	n03079230_36697	57	455	0.000000
416	8	1	n02480855_16790	36	284	0.000000
424	8	1	n04233124_18339	118	943	0.000000
432	8	1	n01770393_24657	8	62	0.000000
440	8	1	n07758680_12418	146	1162	0.000000
448	8	1	n01518878_7346	1	6	0.000000
456	8	1	n03950228_35453	103	822	0.000000
464	8	2	n03950228_35453	103	822	465.036696
472	6	-2	n/a	n/a	n/a	0.000000
